STATION,DATE,avg(TEMP)
7790,20130507,17.4750000000
7790,20130508,17.0500000000
7790,20130509,17.7875000000
7790,20130510,18.4875000000
7790,20130511,16.8500000000
7790,20130512,17.4250000000
7790,20130513,17.0375000000
7790,20130514,16.6250000000
7790,20130515,16.2750000000
7790,20130516,17.4375000000
7790,20130517,15.4000000000
7790,20130518,15.3250000000
7790,20130519,16.8625000000
7790,20130520,14.8500000000
7790,20130521,13.9375000000
7790,20130522,15.9875000000
7790,20130523,19.2875000000
7790,20130524,16.4375000000
7790,20130525,14.3625000000
7790,20130526,16.0750000000
7790,20130527,15.3750000000
7790,20130528,14.5875000000
7790,20130529,16.2500000000
7790,20130530,15.2000000000
7790,20130531,14.4000000000
61968,20130501,25.7750000000
61968,20130502,27.2500000000
61968,20130503,27.6000000000
61968,20130504,27.9250000000
61968,20130505,26.7500000000
61968,20130506,25.8750000000
61968,20130507,26.4625000000
61968,20130508,27.9125000000
61968,20130509,27.5750000000
61968,20130510,26.9375000000
61968,20130511,25.9250000000
61968,20130512,26.4500000000
61968,20130513,26.6250000000
61968,20130514,25.8625000000
61968,20130515,26.9250000000
61968,20130516,27.1250000000
61968,20130517,26.4750000000
61968,20130518,24.5875000000
61968,20130519,24.6750000000
61968,20130520,23.6000000000
61968,20130521,25.2500000000
61968,20130522,24.9625000000
61968,20130523,26.7125000000
61968,20130524,27.0875000000
61968,20130525,26.7750000000
61968,20130526,26.5875000000
61968,20130527,26.1250000000
61968,20130528,25.7000000000
61968,20130529,27.0375000000
61968,20130530,26.2125000000
61968,20130531,24.1000000000
61970,20130501,27.7500000000
61970,20130502,27.6125000000
61970,20130503,27.9625000000
61970,20130504,28.4000000000
61970,20130505,28.3750000000
61970,20130506,27.7125000000
61970,20130507,26.7375000000
61970,20130508,26.5625000000
61970,20130509,26.2500000000
61970,20130510,26.5875000000
61970,20130511,26.9250000000
61970,20130512,27.1500000000
61970,20130513,27.1875000000
61970,20130514,27.3375000000
61970,20130515,27.0857142857
61970,20130516,27.5625000000
61970,20130517,27.7625000000
61970,20130518,27.5625000000
61970,20130519,27.2875000000
61970,20130520,26.6125000000
61970,20130521,26.6875000000
61970,20130522,26.8375000000
61970,20130523,26.5875000000
61970,20130524,26.4625000000
61970,20130525,26.5000000000
61970,20130526,26.3625000000
61970,20130527,25.7375000000
61970,20130528,24.8000000000
61970,20130529,25.6250000000
61970,20130530,25.8000000000
61970,20130531,24.8000000000
61972,20130501,25.1000000000
61972,20130502,24.9875000000
61972,20130503,25.3750000000
61972,20130504,25.1625000000
61972,20130505,24.9750000000
61972,20130506,24.8000000000
61972,20130507,23.3125000000
61972,20130508,23.3625000000
61972,20130509,22.1500000000
61972,20130510,23.2375000000
61972,20130511,24.2500000000
61972,20130512,24.2750000000
61972,20130513,24.5625000000
61972,20130514,24.2250000000
61972,20130515,24.3375000000
61972,20130516,24.9142857143
61972,20130517,24.4750000000
61972,20130518,24.7750000000
61972,20130519,24.0625000000
61972,20130520,23.5000000000
61972,20130521,23.4875000000
61972,20130522,23.4000000000
61972,20130523,22.8875000000
61972,20130524,23.1750000000
61972,20130525,23.4625000000
61972,20130526,23.0750000000
61972,20130527,22.0875000000
61972,20130528,22.1000000000
61972,20130529,21.2375000000
61972,20130530,23.0250000000
61972,20130531,22.0000000000
61976,20130501,24.5200000000
61976,20130502,27.0000000000
61976,20130503,26.7750000000
61976,20130504,26.2857142857
61976,20130505,26.3571428571
61976,20130506,26.7500000000
61976,20130507,25.8571428571
61976,20130508,25.9750000000
61976,20130509,26.1625000000
61976,20130510,26.8714285714
61976,20130511,26.3875000000
61976,20130512,26.5142857143
61976,20130513,26.5750000000
61976,20130514,26.6571428571
61976,20130515,25.9625000000
61976,20130516,25.8142857143
61976,20130517,25.7142857143
61976,20130518,26.1142857143
61976,20130519,25.3285714286
61976,20130520,26.0500000000
61976,20130521,26.6800000000
61976,20130522,25.1600000000
61976,20130523,26.2571428571
61976,20130524,25.9500000000
61976,20130525,31.7000000000
61976,20130526,26.7500000000
61976,20130527,26.0500000000
61976,20130528,26.0500000000
61976,20130529,25.3571428571
61976,20130530,25.8000000000
61976,20130531,24.6000000000
61980,20130501,23.9500000000
61980,20130502,24.8428571429
61980,20130503,23.7625000000
61980,20130504,24.1000000000
61980,20130505,24.6875000000
61980,20130506,24.5250000000
61980,20130507,24.0375000000
61980,20130508,24.0000000000
61980,20130509,22.4000000000
61980,20130510,22.9375000000
61980,20130511,22.9125000000
61980,20130512,23.3125000000
61980,20130513,22.9375000000
61980,20130514,23.4750000000
61980,20130515,23.6875000000
61980,20130516,22.7142857143
61980,20130517,23.6428571429
61980,20130518,23.6375000000
61980,20130519,23.2250000000
61980,20130520,23.7500000000
61980,20130521,23.2375000000
61980,20130522,23.2875000000
61980,20130523,23.6250000000
61980,20130524,23.9875000000
61980,20130525,23.7000000000
61980,20130526,23.3125000000
61980,20130527,23.0500000000
